CD_CONTRATO_VENDA,CD_PLANO,DT_SUSPENSAO,DT_EXCLUSAO,FG_FATURA_INTERNACAO,CD_PESSOA_EMPRESA,CD_UNIMED,DT_INI_VIGENCIA,CD_TAB_PRECO,CD_CATEG,FG_EXIBE_PESQ_MANUAL,FG_BENEF_CARTAO_UNICO,FG_ENVIA_DADOS_ANS,TP_ACOMOD_INTERN_PADRAO,DT_ADAPTACAO,FG_PLAC,CD_CONTRATANTE_AGRUPADOR,NM_CONTRATANTE_AGRUPADOR,DS_CONVENIO,DS_MOTIVO_SUSP_UN,IND_CO_PARTICIPACAO,TP_REMISSAO,ID_ORIGEM
1643102200433001,1643102B,,,N,428929,164,14/02/2001,1451,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5632
1643107200053001,164310745,,,N,428788,164,22/07/1999,1558,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5648
1643108100528001,1643108A,,,N,427047,164,02/08/2001,1581,,S,S,S,02,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5657
1643110200144001,164311045,,,N,428817,164,05/10/1999,1618,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5671
1643111100179001,164311143,,,N,426918,164,10/11/1999,1645,,S,S,S,02,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5678
1643401100236001,164340143,,,N,426937,164,20/01/2000,1693,,S,S,S,02,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5697
1643402100591001,1643402A3,,,N,427081,164,24/02/2003,1719,,S,S,S,02,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5706
1643403100449001,1643403A,,,N,489238,164,20/03/2001,1741,,S,S,S,02,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5718
1643404200293001,164340445,,,N,486657,164,25/04/2000,1762,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5738
1643405100466001,1643405A,,,N,489280,164,25/05/2001,1789,,S,S,S,02,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5750
1643406100005001,164340643,,,N,426877,164,21/06/1999,1809,,S,S,S,02,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5765
1643406200615001,1643406B3,,,N,484639,164,23/06/2003,1819,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5785
1643407200039001,164340745,,,N,489352,164,13/07/1999,1830,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5797
1643408200079001,164340845,,,N,428797,164,06/08/1999,1850,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5811
1643409200568001,1643409B2,,,N,428978,164,12/09/2002,1878,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5823
1643411200184001,164341145,,,N,428832,164,05/11/1999,1918,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5841
1644208200103001,164420845,,,N,428804,164,25/08/1999,1985,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5858
1644406100314001,164440643,,,N,426963,164,12/06/2000,1991,,S,S,S,02,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5866
1644407200339001,164440745,,,N,428889,164,21/07/2000,1996,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5877
1644408200360001,164440845,,,N,428894,164,30/08/2000,2000,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5885
1644412200420001,164441245,,,N,489615,164,28/12/2000,2016,,S,S,S,01,,N,1643101,UNIARAXA REG 1,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5906
1644611211036001,1644611C5,,,N,429058,164,28/11/2005,2104,,S,S,S,02,,N,1644601,ESTADUAL INTEGRAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5999
1645102600325001,1645102B3,,,N,429813,164,27/02/2003,2149,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6018
1645103600434001,1645103T4,,,N,430578,164,19/03/2004,2187,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6024
1645106500382001,1645106MA,,,N,429592,164,15/06/2004,2256,,S,S,S,02,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6043
1645109600009001,164510945,,,N,483473,164,21/09/1999,2294,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6058
1645110600023001,164511045,,,N,429677,164,11/10/1999,2317,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6070
1645111600306001,1645111B2,,,N,429802,164,11/11/2002,2355,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6081
1645202600336001,1645202B3,,,N,429821,164,13/02/2003,2427,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6110
1645204500218001,1645204A2,,,N,429566,164,04/04/2002,2476,,S,S,S,02,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6135
1645204600225001,1645204B2,,,N,429792,164,17/04/2002,2481,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6145
1645205600073001,164520545,,,N,429700,164,05/05/2000,2499,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6165
1645205600339001,1645205B3,,,N,489880,164,16/05/2003,2509,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6172
1645208600104001,164520845,,,N,429718,164,28/08/2000,2576,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6210
1645211600420001,1645211B3,,,N,429870,164,11/11/2003,2661,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6246
1645212500726001,1645212A4,,,N,429606,164,23/12/2004,2683,,S,S,S,02,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6262
1645212800007001,164521261,,,N,429993,164,06/12/1999,2679,,S,S,S,01,,N,1645101,UNIARAXA UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6281
1646135001,164613545,,,N,426289,164,08/02/2000,5614,,S,S,S,01,,N,6134,MEDCOOP/FUNCION.,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6308
1647502019258001,7501A7512ENF,,,N,428747,164,02/02/1997,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6328
1647503019300001,7501A7512ENF,,,N,428761,164,01/03/1997,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6341
1647504013979001,7501A7512ENF,,,N,427330,164,01/04/1996,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6358
1647506020439001,7501A7512ENF,,,N,429003,164,01/06/1997,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6383
1647507000532001,7501A7512ENF,,,N,426610,164,31/07/1992,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6389
1647507001262001,7501A7512ENF,,,N,426619,164,18/01/1999,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6397
1647507001293001,7501A7512APT,,,N,426630,164,27/08/1998,6994,,S,S,S,01,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6406
1647507007000001,7501A7512ENF,,,N,426684,164,31/07/1994,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6415
1647507009150001,7501A7512ENF,,,N,426702,164,09/02/1995,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6430
1647507010179001,1647507J1,,,N,426715,164,31/08/1998,3081,,S,S,S,01,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6440
1647508016093001,7501A7512APT,,,N,426761,164,01/08/1996,6994,,S,S,S,01,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6457
1647509022383001,1647509GG,,,N,426806,164,01/09/1997,3188,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6469
1647510016107001,7501A7512ENF,,,N,490865,164,01/10/1996,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6478
1647510022375001,7501A7512ENF,,,N,426802,164,01/10/1997,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6484
1647512012394001,7501A7512ENF,,,N,426742,164,31/12/1995,6995,,S,S,S,02,,N,1647501,PIF,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6497
1647601063904001,1647601X4,,,N,426844,164,01/01/1997,3402,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6507
1647601212123001,7601A7612,,,N,429101,164,28/12/1998,6969,,S,S,S,02,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6521
1647602063870001,7601A7612B1,,,N,426823,164,10/02/1997,10444,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6526
1647604095066001,7601A7612B13,,,N,426850,164,01/08/1998,7055,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6538
1647604130712001,1647604RA,,,N,427273,164,23/04/1998,3422,,S,S,S,02,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6546
1647605130670001,1647605S,,,N,427256,164,14/05/1998,3436,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6559
1647606063886001,1647606X,,,N,426834,164,10/06/1997,3452,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6565
1647606130689001,1647606X,,,N,427266,164,05/06/1998,3452,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6574
1647607095099001,7601A7612B13,,,N,426867,164,10/07/1997,7055,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6582
1647608140410001,1647608Z,,,N,427549,164,20/08/1997,3469,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6588
1647609201655001,1647609V,,,N,428994,164,13/10/1999,3476,,S,S,S,02,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6592
1647611140361001,7601A7612,,,N,427538,164,20/11/1997,6969,,S,S,S,02,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6602
1647612063906001,7601A7612B13,,,N,426846,164,20/12/1996,7055,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6607
1647612210995001,7601A7612B13,,,N,429050,164,20/11/1998,7055,,S,S,S,01,,N,1647601,NOVO UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6614
1647701517484001,7701A7712,,,N,429628,164,05/01/1996,7000,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6623
1647702517521001,164770254,,,N,429636,164,15/02/1996,3589,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6629
1647704517539001,7701A7712B1,,,N,429643,164,10/04/1996,7016,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6637
1647705517559001,164770583,,,N,429647,164,10/05/1996,3793,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6642
1647707004905001,7701A7712B13,,,N,426634,164,31/08/1998,6996,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6650
1647707004912002,1647707ZC,,,N,491354,164,31/08/1998,3977,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6653
1647707004924001,7701A7712,,,N,426645,164,27/08/1998,7000,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6659
1647707004933001,1647707XH,,,N,491363,164,31/08/1998,3963,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6664
1647707004950001,1647707X,,,N,491364,164,26/07/1993,3954,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6669
1647707004956001,7701A7712B13,,,N,426661,164,31/08/1998,6996,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6672
1647707004993001,7701A7712,,,N,426672,164,27/08/1998,7000,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6678
1647707127203001,7701A7712B13,,,N,427223,164,01/08/1998,6996,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6688
1647707137104001,7701A7712B3,,,N,491383,164,31/08/1998,6997,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6694
1647707137143001,7701A7712B3,,,N,427298,164,27/08/1998,6997,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6700
1647707137173001,1647707XC,,,N,427311,164,31/08/1998,3958,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6711
1647707137197001,7701A7712B13,,,N,491421,164,31/08/1998,6996,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6719
1647707299813001,7701A7712B3,,,N,429257,164,27/08/1998,6997,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6725
1647707299846001,7701A7712B13,,,N,429264,164,31/08/1998,6996,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6731
1647707323823001,1647707RB,,,N,429300,164,31/08/1998,3931,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6734
1647707323852001,1647707XC,,,N,429307,164,31/08/1998,3958,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6740
1647707342386001,1647707RB,,,N,429336,164,31/08/1998,3931,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6747
1647707393877001,1647707XA,,,N,429396,164,01/08/1998,3956,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6754
1647707393899001,7701A7712,,,N,429404,164,31/08/1998,7000,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6760
1647707414274001,1647707RB,,,N,429455,164,27/08/1998,3931,,S,S,S,02,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6767
1647707586022001,7701A7712B13,,,N,429659,164,01/07/1996,6996,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6772
1647709467076001,1647709X4,,,N,429511,164,25/09/1995,4096,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6778
1647709637318001,7701A7712B13,,,N,429952,164,01/08/1998,6996,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6783
1647710637323001,1647710S,,,N,491484,164,01/10/1996,4151,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6789
1647711493467001,7701A7712B13,,,N,429528,164,25/11/1995,6996,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6795
1647712493465001,164771234,,,N,429527,164,05/12/1995,4240,,S,S,S,01,,N,1647701,UNIPLAN,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,6804
1647801120074001,1647801C2,,,N,427191,164,17/01/2002,4304,,S,S,S,02,,N,1647801,CO PARTICIPACAO,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6814
1647804110119001,1647804B2,,,N,427153,164,29/04/2002,4350,,S,S,S,01,,N,1647801,CO PARTICIPACAO,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6836
1647807900008001,1647807A,,,N,430065,164,06/07/2001,4401,,S,S,S,02,,N,1647801,CO PARTICIPACAO,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6852
1647810900033001,1647810A,,,N,430081,164,01/10/2001,4450,,S,S,S,02,,N,1647801,CO PARTICIPACAO,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6874
1647811900144001,1647811A2,,,N,430116,164,05/11/2002,4475,,S,S,S,02,,N,1647801,CO PARTICIPACAO,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6886
1647902150240001,1647902D4,,,N,427616,164,10/02/2004,4520,,S,S,S,01,,N,1647901,ARAXAPART,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6906
1647906150002001,1647906D2,,,N,491674,164,28/06/2002,4543,,S,S,S,01,,N,1647901,ARAXAPART,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6933
1647907140046001,1647907C2,,,N,427378,164,29/07/2002,4546,,S,S,S,02,,N,1647901,ARAXAPART,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6949
1647908140047001,1647908C2,,,N,427379,164,05/08/2002,4552,,S,S,S,02,,N,1647901,ARAXAPART,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6957
1647908140200001,1647908C3,,,N,427480,164,12/08/2003,4553,,S,S,S,02,,N,1647901,ARAXAPART,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6962
1647910140224001,1647910C3,,,N,427495,164,23/10/2003,4565,,S,S,S,02,,N,1647901,ARAXAPART,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,6980
1647912140114001,1647912C2,,,N,427423,164,18/12/2002,4582,,S,S,S,02,,N,1647901,ARAXAPART,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7002
1647921161431001,1647921C8,,,N,492696,164,02/01/2008,4592,,S,S,S,02,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7024
1647921171065001,1647921D6,,,N,428457,164,11/01/2006,4595,,S,S,S,01,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7044
1647922160272001,1647922C4,,,N,427766,164,13/02/2004,4602,,S,S,S,02,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7059
1647923160004001,1647923C3,,,N,427636,164,07/03/2003,4614,,S,S,S,02,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7085
1647923160316001,1647923C4,,,N,491940,164,12/03/2004,4615,,S,S,S,02,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7101
1647923170312001,1647923D4,,,N,428314,164,08/03/2004,4621,,S,S,S,01,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7145
1647924160050001,1647924C3,,,N,427667,164,14/04/2003,4634,,S,S,S,02,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7172
1647924161106001,1647924C6,,,N,427991,164,28/04/2006,4637,,S,S,S,02,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7184
1647925160314001,1647925C4,,,N,427782,164,03/05/2004,4649,,S,S,S,02,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7257
1647925161574001,1647925C8,,,N,428138,164,05/05/2008,4653,,S,S,S,02,,N,1647921,ARAXAPART ESTADUAL,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,7288
