CD_MUNIC,NM_MUNIC,SG_UF,ID_ORIGEM
2203206,CURIMATA,PI,2203206
2203305,DEMERVAL LOBAO,PI,2203305
2203503,ELESBAO VELOSO,PI,2203503
2203701,ESPERANTINA,PI,2203701
2204303,FRONTEIRAS,PI,2204303
2205201,JAICOS,PI,2205201
2206100,MATIAS OLIMPIO,PI,2206100
2207603,PARNAGUA,PI,2207603
2207702,PARNAIBA,PI,2207702
2207801,PAULISTANA,PI,2207801
2208007,PICOS,PI,2208007
2208106,PIMENTEIRAS,PI,2208106
2208205,PIO IX,PI,2208205
2208304,PIRACURUCA,PI,2208304
2208403,PIRIPIRI,PI,2208403
2208809,REGENERACAO,PI,2208809
2210508,SAO PEDRO DO PIAUI,PI,2210508
2210706,SIMOES,PI,2210706
2211001,TERESINA,PI,2211001
2211209,URUCUI,PI,2211209
2211308,VALENCA DO PIAUI,PI,2211308
2300101,ABAIARA,CE,2300101
2300200,ACARAU,CE,2300200
2300309,ACOPIARA,CE,2300309
2300408,AIUABA,CE,2300408
2300507,ALCANTARAS,CE,2300507
2300606,ALTANEIRA,CE,2300606
2300754,AMONTADA,CE,2300754
2300804,ANTONINA DO NORTE,CE,2300804
2300903,APUIARES,CE,2300903
2301000,AQUIRAZ,CE,2301000
2301109,ARACATI,CE,2301109
2301208,ARACOIABA,CE,2301208
2301307,ARARIPE,CE,2301307
2301406,ARATUBA,CE,2301406
2301505,ARNEIROZ,CE,2301505
2301604,ASSARE,CE,2301604
2301703,AURORA,CE,2301703
2301802,BAIXIO,CE,2301802
2301901,BARBALHA,CE,2301901
2302008,BARRO,CE,2302008
2302057,BARROQUINHA,CE,2302057
2302107,BATURITE,CE,2302107
2302206,BEBERIBE,CE,2302206
2302305,BELA CRUZ,CE,2302305
2302503,BREJO SANTO,CE,2302503
2302602,CAMOCIM,CE,2302602
2302701,CAMPOS SALES,CE,2302701
2302800,CANINDE,RS,2302800
2302909,CAPISTRANO,CE,2302909
2303006,CARIDADE,CE,2303006
2303105,CARIRE,CE,2303105
2303204,CARIRIACU,CE,2303204
2303303,CARIUS,CE,2303303
2303402,CARNAUBAL,CE,2303402
2303501,CASCAVEL,CE,2303501
2303709,CAUCAIA,CE,2303709
2303808,CEDRO,CE,2303808
2303907,CHAVAL,CE,2303907
2304004,COREAU,CE,2304004
2304103,CRATEUS,CE,2304103
2304202,CRATO,CE,2304202
2304251,CRUZ,CE,2304251
2304285,EUSEBIO,CE,2304285
2304301,FARIAS BRITO,CE,2304301
2304350,FORQUILHA,CE,2304350
2304400,FORTALEZA,CE,2304400
2304509,FRECHEIRINHA,CE,2304509
2304608,SAMPAIO,CE,2304608
2304657,GRACA,CE,2304657
2304707,GRANJA,CE,2304707
2304806,GRANJEIRO,CE,2304806
2304905,GROAIRAS,CE,2304905
2304954,GUAIUBA,CE,2304954
2305001,GUARACIABA DO NORTE,CE,2305001
2305100,GUARAMIRANGA,CE,2305100
2305308,IBIAPINA,CE,2305308
2305407,ICO,CE,2305407
2305506,IGUATU,CE,2305506
2305605,INDEPENDENCIA,CE,2305605
2305704,IPAUMIRIM,CE,2305704
2305803,IPU,CE,2305803
2305902,IPUEIRAS,CE,2305902
2306108,IRAUCUBA,CE,2306108
2306207,ITAICABA,CE,2306207
2306306,ITAPAJE,CE,2306306
2306405,ITAPICOCA,CE,2306405
2306504,ITAPIUNA,CE,2306504
2306553,ITAREMA,CE,2306553
2306603,ITATIRA,CE,2306603
2306702,JAGUARETAMA,CE,2306702
2307007,JAGUARUANA,CE,2307007
2307106,JARDIM,CE,2307106
2307205,JATI,CE,2307205
2307304,JUAZEIRO DO NORTE,CE,2307304
2307502,LAVRAS DA MANGABEIRA,CE,2307502
2307601,LIMOEIRO DO NORTE,CE,2307601
2307650,MARACANAU,CE,2307650
2307700,MARANGUAPE,CE,2307700
2307809,MARCO,CE,2307809
2307908,MARTINOPOLE,CE,2307908
2308005,MASSAPE,CE,2308005
2308104,MAURITI,CE,2308104
2308203,MERUOCA,CE,2308203
2308302,MILAGRES,CE,2308302
2308401,MISSAO VELHA,CE,2308401
2308609,MONSENHOR TABOSA,CE,2308609
2308708,MORADA NOVA,CE,2308708
2308807,MORAUJO,CE,2308807
2308906,MORRINHOS,CE,2308906
2309003,MUCAMBO,CE,2309003
2309102,MULUNGU,CE,2309102
2309201,NOVA OLINDA,CE,2309201
2309300,NOVA RUSSAS,CE,2309300
2309409,NOVO ORIENTE,CE,2309409
2309607,PACAJUS,CE,2309607
2309706,PACATUBA,CE,2309706
2309805,PACOTI,CE,2309805
2309904,PACUJA,CE,2309904
2310001,PALHANO,CE,2310001
2310100,PALMACIA,CE,2310100
2310209,PARACURU,CE,2310209
2310308,PARAMBU,CE,2310308
2310407,PARAMOTI,CE,2310407
2310605,PENAFORTE,CE,2310605
2310704,PENTECOSTE,CE,2310704
2310902,PIQUET CARNEIRO,CE,2310902
2310951,PIRES FERREIRA,CE,2310951
2311009,PORANGA,CE,2311009
2311108,PORTEIRAS,CE,2311108
2311207,POTENGI,CE,2311207
2311306,QUIXADA,CE,2311306
2311405,QUIXERAMOBIM,CE,2311405
2311504,QUIXERE,CE,2311504
2311603,REDENCAO,CE,2311603
2311702,RERIUTABA,CE,2311702
2311801,RUSSAS,CE,2311801
2312007,SANTANA DO ACARAU,CE,2312007
2312106,SANTANA DO CARIRI,CE,2312106
2312205,SANTA QUITERIA,CE,2312205
2312304,SAO BENEDITO,CE,2312304
2312403,SAO GONCALO DO AMARANTE,CE,2312403
2312502,SAO JOAO DO JAGUARIBE,CE,2312502
2312601,SAO LUIZ DO CURU,CE,2312601
2312601,SAO LUIS DO CURU,CE,2312601
2312809,SENADOR SA,CE,2312809
2312908,SOBRAL,CE,2312908
2313005,SOLONOPOLE,CE,2313005
2313104,TABULEIRO DO NORTE,CE,2313104
2313203,STO ANTONIO DA PLATINA,PR,2313203
2313203,SUCESSO,CE,2313203
2313203,TAMBORIL,CE,2313203
2313302,TAUA,CE,2313302
2313401,TIANGUA,CE,2313401
2313500,TRAIRI,CE,2313500
2313609,UBAJARA,CE,2313609
2313708,UMARI,CE,2313708
2313757,UMIRIM,CE,2313757
2313807,URUBURETAMA,CE,2313807
2313906,URUOCA,CE,2313906
2313955,VARJOTA,CE,2313955
2314003,VARZEA ALEGRE,CE,2314003
2314102,VICOSA DO CEARA,CE,2314102
2400109,ACARI,RN,2400109
2400208,ASSU,RN,2400208
2400703,ALTO DOS RODRIGUES,RN,2400703
2401008,APODI,RN,2401008
2401107,AREIA BRANCA,RN,2401107
2401305,AUGUSTO SEVERO,RN,2401305
2401453,BARAUNA,RN,2401453
2401701,BOM JESUS,RN,2401701
2402006,CAICO,RN,2402006
2402105,CAMPO REDONDO,RN,2402105
2402204,CANGUARETAMA,RN,2402204
2402303,CARAUBAS,RN,2402303
2402402,CARNAUBA DOS DANTAS,RN,2402402
2402501,CARNAUBAIS,RN,2402501
2402600,CEARA MIRIM,RN,2402600
2402709,CERRO CORA,RN,2402709
2403004,CRUZETA,RN,2403004
2403103,CURRAIS NOVOS,RN,2403103
2403251,EDUARDO GOMES,RN,2403251
2403400,EQUADOR,RN,2403400
2403509,ESPIRITO SANTO,RN,2403509
2403608,EXTREMOZ,RN,2403608
2403707,FELIPE GUERRA,RN,2403707
2403806,FLORANIA,RN,2403806
2404200,GOIANINHA,RN,2404200
2404309,GOV DIX SEPT ROSADO,RN,2404309
2404408,GROSSOS,RN,2404408
2404705,IPANGUACU,RN,2404705
2404903,ITAU,RN,2404903
2405207,JANDUIS,RN,2405207
2405702,JARDIM DO SERIDO,RN,2405702
2406502,LAGOA NOVA,RN,2406502
2406700,LAJES,RN,2406700
2406809,LAGES PINTADAS,RN,2406809
2407005,LUIZ GOMES,RN,2407005
2407104,MACAIBA,RN,2407104
2407203,MACAU,RN,2407203
2407302,MARCELINO VIEIRA,RN,2407302
2407401,MARTINS,RN,2407401
2407500,MAXARANGUAPE,RN,2407500
2408003,MOSSORO,RN,2408003
2408102,NATAL,RN,2408102
2408409,OLHO D AQUA DOS BORGES,RN,2408409
2408706,PARAU,RN,2408706
2408904,PARELHAS,RN,2408904
2409209,PASSAGEM,MG,2409209
2409308,PATU,RN,2409308
2409407,PAU DOS FERROS,RN,2409407
2410207,PORTALEGRE,RN,2410207
2411007,RODOLFO FERNANDES,RN,2411007
2411205,SANTA CRUZ,RN,2411205
2411403,SANTANA DO MATOS,RN,2411403
2411429,SANTANA DO SERIDO,RN,2411429
2411908,SAO FRANCISCO DO OESTE,RN,2411908
2412005,SAO GONCALO DO AMARANTE,RN,2412005
2412203,SAO JOSE DO MIPIBU,RN,2412203
2412401,SAO JOSE DO SERIDO,RN,2412401
2412807,SAO RAFAEL,RN,2412807
2412906,SAO TOME,RN,2412906
2413003,SAO VICENTE,BA,2413003
2413003,SAO VICENTE,RN,2413003
2413409,SERRA NEGRA DO NORTE,RN,2413409
2413607,SEVERIANO MELO,RN,2413607
2414100,TENENTE ANANIAS,RN,2414100
2414506,UMARIZAL,RN,2414506
2414605,UPANEMA,RN,2414605
2500304,ALAGOA GRANDE,PA,2500304
2500304,ALAGOA GRANDE,PB,2500304
2500403,ALAGOA NOVA,PA,2500403
2500601,ALHANDRA,PB,2500601
2500700,SAO JOAO DO RIO DO PEIXE,PB,2500700
2501005,ARARUNA,PB,2501005
2501104,AREIA,PA,2501104
2501104,AREIA,PB,2501104
2501807,BAYEUX,PB,2501807
2502102,BOA VENTURA,PB,2502102
2502508,BOQUEIRAO,PB,2502508
2502607,BOQUEIRAO DOS COCHOS,PB,2502607
2503001,CAAPORA,PB,2503001
2503209,CABEDELO,PB,2503209
2503407,CACIMBA DE AREIA,PB,2503407
2503506,CACIMBA DE DENTRO,PB,2503506
2503704,CAJAZEIRAS,PB,2503704
2504009,CAMPINA GRANDE,PB,2504009
2504207,CATINGUEIRA,PB,2504207
2504405,CONCEICAO,PB,2504405
2504504,CONDADO,PB,2504504
2504603,CONDE,PB,2504603
2504801,COREMAS,PB,2504801
2504900,CRUZ DO ESPIRITO SANTO,PB,2504900
2505105,CUITE,PB,2505105
2505303,CURRAL VELHO,PB,2505303
2505600,DIAMANTE,PB,2505600
2505907,EMAS,PB,2505907
2506004,ESPERANCA,PA,2506004
2506103,FAGUNDES,PA,2506103
2506301,GUARABIRA,PB,2506301
2506608,IBIARA,PB,2506608
2506707,IMACULADA,PB,2506707
2506806,INGA,PB,2506806
2506905,ITABAIANA,PB,2506905
2507002,ITAPORANGA,PB,2507002
2507507,JOAO PESSOA,PB,2507507
2507804,JUNCO DO SERICO,PB,2507804
2508109,SAO SEBASTIAO DA LAGOA DA ROCA,PB,2508109
2508307,LAGOA SECA,PA,2508307
2508802,MALTA,PB,2508802
2508901,MAMANGUAPE,PB,2508901
2509008,MANAIRA,PB,2509008
2509107,MARI,PB,2509107
2509206,MASSARANDUBA,PA,2509206
2510105,NOVA FLORESTA,PB,2510105
2510204,NOVA OLINDA,PB,2510204
2510501,OLIVEDOS,PB,2510501
2510709,PASSAGEM,PB,2510709
2510808,PATOS,PB,2510808
2511301,PIANCO,PB,2511301
2511400,PICUI,PB,2511400
2511905,PITIMBU,PB,2511905
2512002,POCINHOS,PA,2512002
2512309,PRINCESA ISABEL,PB,2512309
2512408,PUXINANA,PA,2512408
2512408,PUXINANA,PB,2512408
2512507,QUEIMADAS,PB,2512507
2512606,QUIXABA,PB,2512606
2512705,REMIGIO,PA,2512705
2512903,RIO TINTO,PB,2512903
2513000,SALGADINHO,PB,2513000
2513406,SANTA LUZIA,PB,2513406
2513505,SANTANA DE MANGUEIRA,PB,2513505
2513604,SANTANA DOS GARROTES,PB,2513604
2513703,SANTA RITA,PB,2513703
2514107,SAO JOAO DO TIGRE,PB,2514107
2514404,SAO JOSE DE ESPINHARAS,PB,2514404
2514404,SAO JOSE DE ESPINHARES,PB,2514404
2514602,SAO JOSE DO BONFIM,PB,2514602
2514701,SAO JOSE DO SABUGI,PB,2514701
2514909,SAO MAMEDE,PB,2514909
2515302,SAPE,PB,2515302
2515708,SERRA GRANDE,PB,2515708
2516201,SOUSA,PB,2516201
2516607,TAVARES,PB,2516607
2516706,TEIXEIRA,PB,2516706
2516904,UIRAUNA,PB,2516904
2600203,AFRANIO,PE,2600203
2600401,AGUA PRETA,PE,2600401
2600500,AGUAS BELAS,PE,2600500
2600609,ALAGOINHA,PE,2600609
2600708,ALIANCA,PE,2600708
2601102,ARARIPINA,PE,2601102
2601201,ARCOVERDE,PE,2601201
2601409,BARREIROS,PE,2601409
2601706,BELO JARDIM,PE,2601706
2602001,BODOCO,PE,2602001
2602605,BREJO DA MADRE DE DEUS,PE,2602605
2602902,CABO,PE,2602902
2602902,CABO DE SANTO AGOSTINHO,PE,2602902
2603009,CABROBO,PE,2603009
2603801,CAPOEIRAS,PE,2603801
2603900,CARNAIBA,PE,2603900
2604007,CARPINA,PE,2604007
2604106,CARUARU,PE,2604106
2604502,CHA GRANDE,PE,2604502
2605103,CUSTODIA,PE,2605103
2605202,ESCADA,PE,2605202
2605301,EXU,PE,2605301
2605707,FLORESTA,PE,2605707
2606002,GARANHUNS,PE,2606002
2606200,GOIANA,PE,2606200
2606507,IATI,PE,2606507
2606606,IBIMIRIM,PE,2606606
2606705,IBIRAJUBA,PE,2606705
2606804,IGARASSU,PE,2606804
2607208,IPOJUCA,PE,2607208
2607307,IPUBI,PE,2607307
2607604,ITAMARACA,PE,2607604
2607802,ITAQUITINGA,PE,2607802
2607901,JABOATAO,PE,2607901
2608206,JOAQUIM NABUCO,PE,2608206
2608404,JUREMA,PE,2608404
2609154,MANARI,PE,2609154
2609204,MARAIAL,PE,2609204
2609402,MORENO,PE,2609402
2609600,OLINDA,PE,2609600
2609907,OURICURI,PE,2609907
2610004,PALMARES,PE,2610004
2610400,PARNAMIRIM,PE,2610400
2610707,PAULISTA,PE,2610707
2610905,PESQUEIRA,PE,2610905
2611101,PETROLINA,PE,2611101
2611200,POCAO,PE,2611200
2611309,POMBOS,PE,2611309
2611507,QUIPAPA,PE,2611507
2611606,RECIFE,PE,2611606
2611804,RIBEIRAO,PE,2611804
2611903,RIO FORMOSO,PE,2611903
2612208,SALGUEIRO,PE,2612208
2612455,SANTA CRUZ,PE,2612455
2612505,SANTA CRUZ DO CAPIBARIBE,PE,2612505
2612604,SANTA MARIA DA BOA VISTA,PE,2612604
2612901,SAO BENEDITO DO SUL,PE,2612901
2613503,SAO JOSE DO BELMONTE,PE,2613503
2613602,SAO JOSE DO EGITO,PE,2613602
2613701,SAO LOURENCO DA MATA,PE,2613701
2613909,SERRA TALHADA,PE,2613909
2614204,SIRINHAEM,PE,2614204
2614303,MOREILANDIA,PE,2614303
2615003,TAQUARATINGA DO NORTE,PE,2615003
2615201,TERRA NOVA,PR,2615201
2615607,TRINDADE,PE,2615607
2616308,VICENCIA,PE,2616308
2616407,VITORIA DE SANTO ANTAO,PE,2616407
2700102,AGUA BRANCA,AL,2700102
2700201,ANADIA,AL,2700201
2700300,ARAPIRACA,AL,2700300
2700409,ATALAIA,AL,2700409
2701001,BOCA DA MATA,AL,2701001
2701100,BRANQUINHA,AL,2701100
2701209,CACIMBINHAS,AL,2701209
2701308,CAJUEIRO,AL,2701308
2701357,CAMPESTRE,AL,2701357
2701407,CAMPO ALEGRE,AL,2701407
2701704,CAPELA,AL,2701704
2701803,CARNEIROS,AL,2701803
2702306,CORURIPE,AL,2702306
2702355,CRAIBAS,AL,2702355
2702801,FLEXEIRAS,AL,2702801
2703106,IGACI,AL,2703106
2703809,JOAQUIM GOMES,AL,2703809
2704203,LIMOEIRO DE ANADIA,AL,2704203
2704302,MACEIO,AL,2704302
2704401,MAJOR ISIDORO,AL,2704401
2704708,MARECHAL DEODORO,AL,2704708
2704807,MARIBONDO,AL,2704807
2705101,MATRIZ DE CAMARAGIBE,AL,2705101
2705507,MURICI,AL,2705507
2705606,NOVO LINO,AL,2705606
2706109,OURO BRANCO,AL,2706109
2706307,PALMEIRA DOS INDIOS,AL,2706307
2706406,PAO DE ACUCAR,AL,2706406
2706703,PENEDO,AL,2706703
2706901,PILAR,AL,2706901
2707008,PINDOBA,AL,2707008
2707305,PORTO CALVO,AL,2707305
2707404,PORTO DE PEDRAS,AL,2707404
2707503,PORTO REAL DO COLEGIO,AL,2707503
2707701,RIO LARGO,AL,2707701
2707909,Santa Luzia do Norte,AL,2707909
2708006,SANTANA DO IPANEMA,AL,2708006
2708204,SAO BRAS,AL,2708204
2708303,SAO JOSE DA LAJE,AL,2708303
2708501,SAO LUIS DO QUITUNDE,AL,2708501
2708600,SAO MIGUEL DOS CAMPOS,AL,2708600
2708808,SAO SEBASTIAO,AL,2708808
2709103,TAQUARANA,AL,2709103
2709152,TEOTONIO VILELA,AL,2709152
2709301,UNIAO DOS PALMARES,AL,2709301
2709400,VICOSA,AL,2709400
2800209,AQUIDABA,SE,2800209
2800308,ARACAJU,SE,2800308
2800407,ARAUA,SE,2800407
2801306,CAPELA,SE,2801306
2801702,CRISTINAPOLIS,SE,2801702
2801900,CUMBE,SE,2801900
2802106,ESTANCIA,SP,2802106
2802106,ESTANCIA,SE,2802106
2802304,FREI PAULO,SE,2802304
2802908,ITABAIANA,SE,2802908
2803500,LAGARTO,SP,2803500
2804201,MONTE ALEGRE DE SERGIPE,SE,2804201
2804508,NOSSA SENHORA DA GLORIA,SE,2804508
2805505,POCO VERDE,SE,2805505
2805604,PORTO DA FOLHA,SE,2805604
2805703,PROPRIA,SE,2805703
2806206,SALGADO,PE,2806206
2806305,SANTA LUZIA DO ITANHY,SE,2806305
2807501,TOMAR DO GERU,SE,2807501
2900108,ABAIRA,BA,2900108
2900405,AGUA FRIA,BA,2900405
2900603,AIQUARA,BA,2900603
2900702,ALAGOINHAS,BA,2900702
2900801,ALCOBACA,BA,2900801
2900900,ALMADINA,BA,2900900
2901007,AMARGOSA,BA,2901007
2901106,AMELIA RODRIGUES,BA,2901106
2901155,AMERICA DOURADA,BA,2901155
2901205,ANAGE,BA,2901205
2901304,ANDARAI,BA,2901304
2901502,ANGUERA,BA,2901502
2901601,ANTAS,BA,2901601
2901700,ANTONIO CARDOSO,BA,2901700
2901809,ANTONIO GONCALVES,BA,2901809
2901957,APUAREMA,BA,2901957
2902005,ARACATU,BA,2902005
2902054,ARACAS,BA,2902054
2902104,ARACI,BA,2902104
2902252,ARATACA,BA,2902252
2902401,AURELINO LEAL,BA,2902401
2902609,BAIXA GRANDE,BA,2902609
2902708,BARRA,BA,2902708
2902807,BARRA DA ESTIVA,BA,2902807
2902906,BARRA DO CHOCA,BA,2902906
2903201,BARREIRAS,BA,2903201
2903409,BELMONTE,BA,2903409
2903508,BELO CAMPO,BA,2903508
2903706,BOA NOVA,BA,2903706
2903805,BOA VISTA DO TUPIM,BA,2903805
2903904,BOM JESUS DA LAPA,BA,2903904
2904050,BONITO,BA,2904050
2904100,BOQUIRA,BA,2904100
2904209,BOTUPORA,BA,2904209
2904308,BREJOES,BA,2904308
2904506,BROTAS DE MACAUBAS,BA,2904506
2904605,BRUMADO,BA,2904605
2904704,BUERAREMA,BA,2904704
2904803,CAATIBA,BA,2904803
2905008,CACULE,BA,2905008
2905107,CAEM,BA,2905107
2905206,CAETITE,BA,2905206
2905404,CAIRU,BA,2905404
2905602,CAMACAN,BA,2905602
