CD_TAB_PRECO;NM_TAB_PRECO;TP_TAB_PRECO;ID_ORIGEM
30000250043;TORAX CEN. DIAG. PREV. - Nenhum;3;
30000250044;CLIN. DOM JOAQUIM - Nenhum;3;
30000250045;CLIN. MED. PALHOÇA - Nenhum;3;
30000250046;BAIA SUL DAY HOSPITAL - Nenhum;3;
30000250047;CLIN. CAMINHO DO SOL - Nenhum;3;
30000250048;NAS NUCLEO ATEN. SAUDE CENTRO - Nenhum;3;
30000250049;NAS NUCLEO ATEN.SAUDE KOBRASOL - Nenhum;3;
30000250050;FACCIAL CLIN. BUCO MAXILO - Nenhum;3;
30000250051;BIONUCLEAR SERV. MED NUC UD.25 - Nenhum;3;
30000250052;CENTRO CLÍN. ESTREITO UD. 25 - Nenhum;3;
30000250053;NAS CENT NUC ATENC SAUDE UD.25 - Nenhum;3;
30000250054;NAS KOBRASOL UD.25 - Nenhum;3;
30000250056;FUND H. MUN. CANELINHA UD.25 - Nenhum;3;
30000250057;CLIN. MED. TRINDADE S/S UD.25 - Nenhum;3;
30000250059;ORTOTRAUMA CLIN. UD.25 - Nenhum;3;
30000250060;CEMAD UD.25 - Nenhum;3;
30000250064;OFTALMOCLÍNICA GHISI UD.25 - Nenhum;3;
30000250066;INST.DE OLHOS FPOLIS UD.25 - Nenhum;3;
30000250068;CLIN ENDO E GASTRO UD.25 - Nenhum;3;
30000250071;POLIMED COQUEIROS UD.25 - Nenhum;3;
30000250072;CLIMED UD.25 - Nenhum;3;
30000250073;CLIN.OLHOS SÃO SEBASTIÃO UD.25 - Nenhum;3;
30000250074;HAPPY BIRTHDAY UD.25 - Nenhum;3;
30000250075;CLINIFERT UD.25 - Nenhum;3;
30000250076;CLINIRIM UD.25 - Nenhum;3;
30000250077;CEMIC UD.25 - Nenhum;3;
30000250078;POLIC SANTA ROSA  UD.25 - Nenhum;3;
30000250080;CEN DE NEURODIAG. UD.25 - Nenhum;3;
30000250101;SEC. DE ESTADO DA SAUDE UD. 25 - Nenhum;3;
30000250102;CIÊNCIA LAB. MÉDICO LTDA UD.25 - Nenhum;3;
30000250103;SAFE CIRURGICO UD 25 - Nenhum;3;
30000250104;HOSP NOVA TRENTO UD 25 - Nenhum;3;
30000250105;ICOM INST ONCO MAMA UD 25 - Nenhum;3;
30000250106;CENTRO CAT RETINA VITREO UD 25 - Nenhum;3;
30000251006;PROCTO CLIN CIR E COLON UD.25 - Nenhum;3;
30000251007;CRISTHAL CENTER CONS UD.25 - Nenhum;3;
30000251009;CECADE CEN CAT DE DERMAT UD.25 - Nenhum;3;
30000251010;SANTA CLARA ASSIST. UD.25 - Nenhum;3;
30000251011;VITESSE UD.25 - Nenhum;3;
30000251012;POLIC SAGRADA FAMÍLIA UD.25 - Nenhum;3;
30000251013;CRESCER NA ILHA CLIN MED UD.25 - Nenhum;3;
30000251015;CORDEIRO PINTO E CIA UD.25 - Nenhum;3;
30000251016;G & A ASSOC POLIC UD.25 - Nenhum;3;
30000251018;CIMOSC CLIN. INTEG. UD.25 - Nenhum;3;
30000251020;SIVIZA S/A LTDA UD.25 - Nenhum;3;
30000251025;CLIN DERMAT DR NILSON UD.25 - Nenhum;3;
30000251026;CLINICA DA CRIANÇA UD.25 - Nenhum;3;
30000251028;MEDCLINICA CLIN MED UD.25 - Nenhum;3;
30000251029;BELLAMED CLIN MEDICA UD.25 - Nenhum;3;
30000251030;SOMA UD.25 - Nenhum;3;
30000251032;CEN MED CENTRAL S/S UD.25 - Nenhum;3;
30000251033;CLINIMOMM PEDIATRIA UD.25 - Nenhum;3;
30000251034;CENTRO REG MED. INTEG UD.25 - Nenhum;3;
30000251036;CLIN DO APARELHO DIG UD.25 - Nenhum;3;
30000251059;OFTALMOCLIN  CLÍN UD.25 - Nenhum;3;
30000251060;CLIN MED FORQUILINHAS UD.25 - Nenhum;3;
30000251061;DERMO CLÍNICA S/C LTDA UD.25 - Nenhum;3;
30000251062;APAR VIDA CLIN. UD.25 - Nenhum;3;
30000251063;CLIN DE MASTOLOGIA DIAG UD.25. - Nenhum;3;
30000251064;SAMAR CENT MED SAMARIT UD.25 - Nenhum;3;
30000251065;HOSP DA PLÁSTICA DE SC UD.25 - Nenhum;3;
30000251066;DIAG DA AMERICA AS- 1  UD.25 - Nenhum;3;
30000251067;DIAG DAS AMERICAS - 2 UD.25 - Nenhum;3;
30000251068;NUCLEO MED SAINT GERMAIN UD.25 - Nenhum;3;
30000251069;DIGEM DIAG. IMAGEM UD.25 - Nenhum;3;
30000251070;CENT. DIAG DE PALHOÇA UD.25 - Nenhum;3;
30000251073;CENT OFTALM DIAG TER UD.25 - Nenhum;3;
30000251074;CLIN MED VITAL - Nenhum;3;
30000251075;MEAS CLIN OFTALM UD.25 - Nenhum;3;
30000251076;CLIN DE CIR PLAST ZUCCO UD.25 - Nenhum;3;
30000251077;FUND MED RUR S BONIFACIO UD.25 - Nenhum;3;
30000251078;HOSPITAL BAIA SUL UD. 025 - Nenhum;3;
30000251080;SAFE CIRÚRGICO S/S UD 25 - Nenhum;3;
30000251081;CLINICA VIDA SAÚDE UD. 25 - Nenhum;3;
30000251082;DMI DIAGN MÉDICO IMAGEM UD 25 - Nenhum;3;
30000251083;CLIN MED PEREZ S/S UD 25 - Nenhum;3;
30000251084;CLIN PELE JACOBOWSKI JOAQUIM - Nenhum;3;
30000251085;CLIN ISAIAS FORTKAMP UD 25 - Nenhum;3;
30000251086;UNIDADE TRINDADE UD25 - Nenhum;3;
30000260001;BLUMENAU 1.º REAJUSTE - Nenhum;3;
30000260002;BLUMENAU 2.º REAJUSTE - Nenhum;3;
30000260003;MÉDICA DE BLUMENAU - Nenhum;3;
30000260004;BLUMENAU - INST. ORTOP. IOT - Nenhum;3;
30000260005;BLUMENAU -  IOB CLIN STA LUZIA - Nenhum;3;
30000260006;HOSP OSVALDO CRUZ UD. BLUMENAU - Nenhum;3;
30000260007;HOSP UNIMED VILA NOVA UD.26 - Nenhum;3;
30000260008;BOTELHO OFTALMOCLÍNICA UD.26 - Nenhum;3;
30000260009;CLIN.O.ROBERTO V HERTWIG UD.26 - Nenhum;3;
30000260010;HOSP. DE OLHOS FREITAG UD.26 - Nenhum;3;
30000260011;CEN. PED. VALE DO ITAJAÍ UD.26 - Nenhum;3;
30000260012;HOSP UNIMED INTERMED UD. 26 - Nenhum;3;
30000260013;HOSP UNIMED - TIMBÓ  UD. 26 - Nenhum;3;
30000260016;CLIN MEDICINE E CHARCOT UD.26 - Nenhum;3;
30000260017;CLÍNICA STA LUZIA (IOB) UD.26 - Nenhum;3;
30000260018;FUND HOSP.R. DOS CEDROS UD.26 - Nenhum;3;
30000260019;BOTELHO OFTALMOCLÍNICA UD.26 - Nenhum;3;
30000260020;CLIN. OLHOS DR ROBERTO UD.26 - Nenhum;3;
30000260026;OFTALMO CLIN. SANTHIAGO UD.26 - Nenhum;3;
30000260027;CLIN. DE ORL NACONECY UD.26 - Nenhum;3;
30000260028;CLIN. ANGIOLÓGICA SCHLUP UD.26 - Nenhum;3;
30000260029;ORLANDO HUGO PRAUN JR    UD.26 - Nenhum;3;
30000260030;CENT.DIAG. E OFTALM.    UD.26 - Nenhum;3;
30000260031;DR. BORIS OMAR KOERICH UD.26 - Nenhum;3;
30000260032;DR. EMERSON A. RIBEIRO UD.26 - Nenhum;3;
30000260033;DR. FERNANDO L. MANDELLI UD.26 - Nenhum;3;
30000260034;DR. GUILHERME LUCHI BOOS UD.26 - Nenhum;3;
30000260035;DR. NELSON COUTINHO JR UD.26 - Nenhum;3;
30000260036;DR. NILTON NASSER UD.26 - Nenhum;3;
30000260037;DR. RAFAEL L. TARNOWSKY UD.26 - Nenhum;3;
30000260038;DRA. ANGELICA VASSELAI UD.26 - Nenhum;3;
30000260039;DRA. CYNTHIA VALDERRAMA UD.26 - Nenhum;3;
30000260040;DRA. DEBORA C DE FARIAS UD.26 - Nenhum;3;
30000260041;DRA. EDISLENE C V VALBÃO UD.26 - Nenhum;3;
30000260042;DRA. GENESIA B DE SÁ UD.26 - Nenhum;3;
30000260043;DRA. JEANINE M FRANTZ UD.26 - Nenhum;3;
30000260044;DRA. KATIUSCIA ROSÁRIO UD.26 - Nenhum;3;
30000260045;DRA. MARILUCE D MOLL UD.26 - Nenhum;3;
30000260046;DRA. RENATA F BEBER UD.26 - Nenhum;3;
30000260047;DRA. JACKIE HASSE UD.26 - Nenhum;3;
30000260048;DR. ANDRÉ PAULO NEMETZ UD.26 - Nenhum;3;
30000260049;DR. JOSÉ H SCHWEDER UD.26 - Nenhum;3;
30000260050;DR. MARCO A CAVALCANTI UD.26 - Nenhum;3;
30000260051;DR. ANDRÉ D MACHADO UD.26 - Nenhum;3;
30000260052;CLIN. SÉRGIO BEDUSCHI UD.26 - Nenhum;3;
30000260053;DIGEST  UD.26 - Nenhum;3;
30000260054;ESADI  UD.26 - Nenhum;3;
30000260055;INSTITUTO DE GASTROENT UD.26 - Nenhum;3;
30000260056;GASTROBLUIMAGEM UD.26 - Nenhum;3;
30000260057;CLÍNICA LOTHAR STANGE UD.26 - Nenhum;3;
30000260058;SKOPIA  UD.26 - Nenhum;3;
30000260059;CAD BLU CENTRO UD.26 - Nenhum;3;
30000260060;CLÍNICA DR. AGOBAR  UD.26 - Nenhum;3;
30000260061;CLIN DE MED INT POMERODE UD.26 - Nenhum;3;
30000260062;DR. SÉRGIO DUARTE E  CIA UD.26 - Nenhum;3;
30000260063;CENTROCOR UD.26 - Nenhum;3;
30000260064;UNICARDIO UD.26 - Nenhum;3;
30000260065;CLINICOR UD.26 - Nenhum;3;
30000260066;CARDIOBLU UD.26 - Nenhum;3;
30000260067;DR. CARLOS E. MORI UD.26 - Nenhum;3;
30000260068;HOSP. DIA DO PULMÃO UD.26 - Nenhum;3;
30000260069;CORSB RAD. MEGA UD. 26 - Nenhum;3;
30000260070;CLIN. RINS VALE ITAJAI UD.26 - Nenhum;3;
30000260071;CENTRO DE ESP MÉDIC SC - Nenhum;3;
30000260072;DR. LUIZ INGLETTO UD.26 - Nenhum;3;
30000260073;DRA. TERESA C. D COSTA UD.26 - Nenhum;3;
30000260074;HOSPITAL DE OLHOS UD.BLUMENAU - Nenhum;3;
30000260075;PRO DERME UD.26 - Nenhum;3;
30000260076;ANZANELLO & MEIRA LTDA UD. 26 - Nenhum;3;
30000260077;UROCLÍNICA DR. ERNÉRIO UD.26 - Nenhum;3;
30000260078;ECOMAX GARCIA FILIAL MATRIZ 26 - Nenhum;3;
30000260079;CLÍNICA REICHOW SS LTDA UD.26 - Nenhum;3;
30000260080;DR PEDRO GEISEL SANTOS - 026 - Nenhum;3;
30000260081;DRA CRISTINA TONISSI - Nenhum;3;
30000260082;GENE CLIN MAT INFANT.- UD 026 - Nenhum;3;
30000260083;CLIN ROLAND DAGNONI S - UD.026 - Nenhum;3;
30000260084;MARCELO F S CIA LTDA- UD.026 - Nenhum;3;
30000260085;CLINICA EWALD - UD.026 - Nenhum;3;
30000260086;CLIN. P. C. G BUCHEN - UD.026 - Nenhum;3;
30000260087;CLINICA PED FOGAÇA - UD.026 - Nenhum;3;
30000260088;GASTROCLÍNICA - UD.026 - Nenhum;3;
30000260089;CINTIA L TUSCHINSKI - UD.026 - Nenhum;3;
30000260090;NADINE VANDRESEN - UD.026 - Nenhum;3;
30000260091;CAMILE DALLAGRAVE - UD.026 - Nenhum;3;
30000260092;CARLOS IVAN BUCHEN - UD.026 - Nenhum;3;
30000260093;EDUARDO MARTGNAGO - UD.026 - Nenhum;3;
30000260094;GUSTAVO DE RE - UD.026 - Nenhum;3;
30000260095;JAN ALESSANDRO SOCHER - UD.026 - Nenhum;3;
30000260096;JULIO MANDELI NETO - UD.026 - Nenhum;3;
30000260097;LAMBERTO BORBA - UD.026 - Nenhum;3;
30000260098;LEANDRO HUGO PRAUN - UD. 026 - Nenhum;3;
30000260099;LUCIANO HUGO PRAUN - UD.026 - Nenhum;3;
30000260100;PATRICIA P M ARAUJO -UD.026 - Nenhum;3;
30000260101;ROBSON ANTONIO PALMA -UD.026 - Nenhum;3;
30000260102;ROMUALDO IZON HEIL - UD.026 - Nenhum;3;
30000260103;DANIELA P N RIBEIRO - UD.026 - Nenhum;3;
30000260104;JULIO C DE O CORREA - UD026 - Nenhum;3;
30000260105;DR. SÉRGIO R. SKROBOT- UD.026 - Nenhum;3;
30000260106;DR. LUIZ C. PEDROSO - UD.026 - Nenhum;3;
30000260107;ENDOSKOPICA CLIN END. UD. 26 - Nenhum;3;
30000260108;PROCTOCLÍNICA CAMINHA UD. 26 - Nenhum;3;
30000260109;DR.MAURICIO Z RIBEIRO UD.026 - Nenhum;3;
30000260110;PULMOCLÍNICA           UD. 026 - Nenhum;3;
30000260111;DRA. JULIANE G DE M PER UD.026 - Nenhum;3;
30000260112;DR.RAFAEL R B PEREIRA UD. 026 - Nenhum;3;
30000260113;ULTRAS DIAGN ST ISABEL UD  26 - Nenhum;3;
30000260114;VIDAR CLIN CIR AP DIGEST UD 26 - Nenhum;3;
30000260115;CENTRO CLIN BLUMENAU UD 26 - Nenhum;3;
30000260116;DR FABRICIO GEISER UD 26 - Nenhum;3;
30000260117;DR JULIANO OSMAR KUHNEN UD 26 - Nenhum;3;
30000260118;DR RUYSDAEL ZOCOLI UD 026 - Nenhum;3;
30000260119;OFTALMO CLIN HEUSI LTDA - Nenhum;3;
30000260120;DR. LIZANDRO E DRZ KATIA - Nenhum;3;
30000260121;DR. DANIEL DENARDIN - Nenhum;3;
30000260122;CEPAS - CE PRO ATEN SAUDE 026 - Nenhum;3;
30000260123;GUILHERME MOREIRA BUCHEN - Nenhum;3;
30000260124;DR MAURICIO CORREA - Nenhum;3;
30000260125;C C O CLINICA LTDA - Nenhum;3;
30000260126;DRA MAIRA GODOY - Nenhum;3;
30000260127;DRA. SANDRA AYMI AZEVEDO - Nenhum;3;
30000260128;OFTALMO CENTER - Nenhum;3;
30000260129;DRA. JULIANA C FIQUENE - Nenhum;3;
30000260130;ANGIOKLINIK UD 026 - Nenhum;3;
30000260131;DAFNE P CERCHIARI 026 - Nenhum;3;
30000260132;DR JEAN CARLO MIILLER UD26 - Nenhum;3;
30000260133;DR JOAO M R LOURES UD26 - Nenhum;3;
30000260134;DR JORGE O R FILHO - Nenhum;3;
30000260135;FABRICIO MARTINS ZUCCO   UD26 - Nenhum;3;
30000262001;HOSP. SANTA CATARINA - Nenhum;3;
30000262002;HOSPITAL SANTA ISABEL - Nenhum;3;
30000262003;HOSPITAL SANTO ANTONIO - Nenhum;3;
30000263001;HOSP. BEATRIZ RAMOS - Nenhum;3;
30000264001;HOSP. RIO DO TESTO - Nenhum;3;
30000264002;HOSP. E MAT. OASE - Nenhum;3;
30000265001;HOSP. SÃO BENEDITO - Nenhum;3;
30000265002;HOSP. VILA ITOUPAVA - Nenhum;3;
30000265003;HOSP. NSSA SRA PERP SOC UD.026 - Nenhum;3;
30000270001;CHU - CENTRO HOSP. UNIMED - Nenhum;3;
30000270002;HOSP. CARIDADE - JLLE - Nenhum;3;
30000270003;HOSPITAL DONA HELENA - Nenhum;3;
30000270008;HOSP REGIONAL E DARCY V. UD 27 - Nenhum;3;
30000270009;HOSPITAL BETHESDA UD.27 - Nenhum;3;
30000270010;IOT INST ORTOP TRAUMAT UD.27 - Nenhum;3;
30000270011;CEN. ORT. E FRAT. LTDA UD.27 - Nenhum;3;
30000270012;IGED INST. GASTROENT.  UD 27 - Nenhum;3;
30000270013;HOSP. DIA CLIN SÃO MARCOS UD27 - Nenhum;3;
30000270014;BAMBINI PED. ASSOCIADOS UD. 27 - Nenhum;3;
30000270015;OUTRAS CLÍNICAS UD. JOINVILLE - Nenhum;3;
30000270016;OUTROS CONSULTÓRIOS UD. JLLE - Nenhum;3;
30000270017;SAO MARCOS PNEUMOL UD_027 - Nenhum;3;
30000270018;INST JLLE HEM E ONCOLOGIA UD27 - Nenhum;3;
30000270019;CARDIOCARE UD.027 - Nenhum;3;
30000270020;CENTRO T D RENAIS UD.027 - Nenhum;3;
30000270021;CLIN FRAT BOA VISTA UD.027 - Nenhum;3;
30000270022;CLIN NEUROL.E NEURO. UD.027 - Nenhum;3;
30000270023;FJR SERV CARDIOL UD.027 - Nenhum;3;
30000270024;PRONTOCOR UD.027 - Nenhum;3;
30000270026;MASTOCENTRO UD.027 - Nenhum;3;
30000270027;INST ANG. E CIR. VASC - Nenhum;3;
30000270028;EDUARDO LEITE KROPIWIEC UD027 - Nenhum;3;
30000270029;CLINIPELE UD.027 - Nenhum;3;
30000270030;UROCLÍNICA UD.027 - Nenhum;3;
30000270031;CLIN ANGIOL E CIR VASC UD027 - Nenhum;3;
30000270032;CLIN LITOTRIP EXTRAC UD.027 - Nenhum;3;
30000270033;CLIN NEFROLOGIA JLLE - Nenhum;3;
30000270034;CLIREMED UD.027 - Nenhum;3;
30000270035;ENDOGIN SERV VIDEO UD.027 - Nenhum;3;
30000270036;H&W CARDIOLOGIA UD.027 - Nenhum;3;
30000270037;INST. CORAÇÃO UD.027 - Nenhum;3;
30000270038;DEVIENNE WERNER UD.027 - Nenhum;3;
30000270039;CLIN OUV. NAR.GAR. UD.027 - Nenhum;3;
30000270040;GASTROCENTRO UD. 027 - Nenhum;3;
30000270041;UROCENTRO UD. 027 - Nenhum;3;
30000270042;OTORRINOS CLÍNICA UD.027 - Nenhum;3;
30000270043;PRO-SAÚDE UD. 027 - Nenhum;3;
30000270044;CENTRO DIAG. OFTALM UD.027 - Nenhum;3;
30000270045;INST DE OFTALMOL. UD.027 - Nenhum;3;
30000270046;CTO CLINICA DE TRAUM UD. 027 - Nenhum;3;
30000270047;CLIN. OLHOS ANDRADE UD.027 - Nenhum;3;
30000270048;CLINICA DIAS UD.027 - Nenhum;3;
30000270049;CLINICA KLEINUBING UD.027 - Nenhum;3;
30000270050;CLINICA PROGASTRO UD. 027 - Nenhum;3;
30000270051;ADVILELA SAUDE ESPORTIVA UD 27 - Nenhum;3;
30000270052;PALKA ORTOPEDIA E TRAUMA UD27 - Nenhum;3;
30000270053;COT - UD 027 - Nenhum;3;
30000270054;LASER OCULAR CENTRO - 285 - 27 - Nenhum;3;
30000270055;PROCTOGIN - Nenhum;3;
30000331007;CLINICA DE ONCOLOGIA UD 331 - Nenhum;3;
30000999999;Padrão - Intercâmbio Nacional - Nenhum;3;
30001480001;SANI CLINICA UD.148 - Nenhum;3;
30001480002;CLINICA RENAL  UD.148 - Nenhum;3;
30001480004;IOT SÃO MIGUEL UD 148 - Nenhum;3;
30001480005;ORTOMED ORTOP TRAUMATOL. UD148 - Nenhum;3;
30001480006;OFTALMOCLINICA SÃO MIGUEL - Nenhum;3;
30001480008;MÉDICOS EXTREMO OESTE - Nenhum;3;
30001480009;GREGORIO G FERREIRA - Nenhum;3;
30001480010;JULIO A BUDANT - Nenhum;3;
