CD_CID,DS_CID,DT_EXCL,ID_ORIGEM
H950,COLESTEATOMA RECORRENTE DA CAVIDADE POS-MASTOIDECTOMIA                                              ,,
H951,OUTROS TRANSTORNOS CONSEQUENTES A MASTOIDECTOMIA                                                    ,,
H958,OUTROS TRANSTORNOS DO OUVIDO E DA APOFISE MASTOIDE POS-PROCEDIMENTO                                 ,,
H959,TRANSTORNO NAO ESPECIFICADO DO OUVIDO E DA APOFISE MASTOIDE POS-PROCEDIMENTO                        ,,
I00,FEBRE REUMATICA SEM MENCAO DE COMPROMETIMENTO DO CORACAO E SUBTÍTULOS                               ,,
I01,FEBRE REUMATICA COM COMPROMETIMENTO DO CORACAO E SUBTÍTULOS                                         ,,
I010,PERICARDITE REUMATICA AGUDA                                                                         ,,
I011,ENDOCARDITE REUMATICA AGUDA                                                                         ,,
I012,MIOCARDITE REUMATICA AGUDA                                                                          ,,
I018,OUTRAS FORMAS DE DOENCA CARDIACA REUMATICA AGUDA                                                    ,,
I019,DOENCA CARDIACA REUMATICA AGUDA NAO ESPECIFICADA                                                    ,,
I02,COREIA REUMATICA E SUBTÍTULOS                                                                       ,,
I020,COREIA REUMATICA COM COMPROMETIMENTO CARDIACO                                                       ,,
I029,COREIA REUMATICA SEM COMPROMETIMENTO CARDIACO                                                       ,,
I05,DOENCAS REUMATICAS DA VALVA MITRAL E SUBTÍTULOS                                                     ,,
I050,ESTENOSE MITRAL                                                                                     ,,
I051,INSUFICIENCIA MITRAL REUMATICA                                                                      ,,
I052,ESTENOSE MITRAL COM INSUFICIENCIA                                                                   ,,
I058,OUTRAS DOENCAS DA VALVA MITRAL                                                                      ,,
I059,DOENCA NAO ESPECIFICADA DA VALVA MITRAL                                                             ,,
I06,DOENCAS REUMATICAS DA VALVA AORTICA E SUBTÍTULOS                                                    ,,
I060,ESTENOSE AORTICA REUMATICA                                                                          ,,
I061,INSUFICIENCIA AORTICA REUMATICA                                                                     ,,
I062,ESTENOSE AORTICA REUMATICA COM INSUFICIENCIA                                                        ,,
I068,OUTRAS DOENCAS REUMATICAS DA VALVA AORTICA                                                          ,,
I069,DOENCA REUMATICA DA VALVA AORTICA, NAO ESPECIFICADA                                                 ,,
I07,DOENCAS REUMATICAS DA VALVA TRICUSPIDE E SUBTÍTULOS                                                 ,,
I070,ESTENOSE TRICUSPIDE                                                                                 ,,
I071,INSUFICIENCIA TRICUSPIDE                                                                            ,,
I072,ESTENOSE TRICUSPIDE COM INSUFICIENCIA                                                               ,,
I078,OUTRAS DOENCAS DA VALVA TRICUSPIDE                                                                  ,,
I079,DOENCA NAO ESPECIFICADA DA VALVA TRICUSPIDE                                                         ,,
I08,DOENCAS DE MULTIPLAS VALVAS E SUBTÍTULOS                                                            ,,
I080,TRANSTORNOS DE VALVAS MITRAL E AORTICA                                                              ,,
I081,TRANSTORNOS DE AMBAS AS VALVAS MITRAL E TRICUSPIDE                                                  ,,
I082,TRANSTORNOS DE AMBAS AS VALVAS AORTICA E TRICUSPIDE                                                 ,,
I083,TRANSTORNOS DAS VALVAS MITRAL, AORTICA E TRICUSPIDE                                                 ,,
I088,OUTRAS DOENCAS DE MULTIPLAS VALVAS                                                                  ,,
I089,DOENCA NAO ESPECIFICADA DE MULTIPLAS VALVAS                                                         ,,
I09,OUTRAS DOENCAS REUMATICAS DO CORACAO E SUBTÍTULOS                                                   ,,
I090,MIOCARDITE REUMATICA                                                                                ,,
I091,DOENCAS REUMATICAS DO ENDOCARDIO, VALVA NAO ESPECIFICADA                                            ,,
I092,PERICARDITE REUMATICA CRONICA                                                                       ,,
I098,OUTRAS DOENCAS REUMATICAS ESPECIFICADAS DO CORACAO                                                  ,,
I099,DOENCA CARDIACA REUMATICA NAO ESPECIFICADA                                                          ,,
I10,HIPERTENSAO ESSENCIAL (PRIMARIA) E SUBTÍTULOS                                                       ,,
I10X,                                                                                                    ,14/09/15,
I11,DOENCA CARDIACA HIPERTENSIVA E SUBTÍTULOS                                                           ,,
I110,DOENCA CARDIACA HIPERTENSIVA COM INSUFICIENCIA CARDIACA (CONGESTIVA)                                ,,
I119,DOENCA CARDIACA HIPERTENSIVA SEM INSUFICIENCIA CARDIACA (CONGESTIVA)                                ,,
I12,DOENCA RENAL HIPERTENSIVA E SUBTÍTULOS                                                              ,,
I120,DOENCA RENAL HIPERTENSIVA COM INSUFICIENCIA RENAL                                                   ,,
I129,DOENCA RENAL HIPERTENSIVA SEM INSUFICIENCIA RENAL                                                   ,,
I13,DOENCA CARDIACA E RENAL HIPERTENSIVA E SUBTÍTULOS                                                   ,,
I130,DOENCA CARDIACA E RENAL HIPERTENSIVA COM INSUFICIENCIA CARDIACA (CONGESTIVA)                        ,,
I131,DOENCA CARDIACA E RENAL HIPERTENSIVA COM INSUFICIENCIA RENAL                                        ,,
I132,DOENCA CARDIACA E RENAL HIPERTENSIVA COM INSUFICIENCIA CARDIACA (CONGESTIVA) E INSUFICIENCIA RENAL  ,,
I139,DOENCA CARDIACA E RENAL HIPERTENSIVA, NAO ESPECIFICADA                                              ,,
F539,TRANSTORNO MENTAL E COMPORTAMENTAL ASSOCIADO AO PUERPERIO, NAO ESPECIFICADO                         ,,
F54,FATORES PSICOLOGICOS OU COMPORTAMENTAIS ASSOCIADOS A DOENCA OU A TRANSTORNOS CLASSIFICADOS EM OUTRA ,,
F55,ABUSO DE SUBSTANCIAS QUE NAO PRODUZEM DEPENDENCIA E SUBTÍTULOS                                      ,,
F59,SINDROMES COMPORTAMENTAIS ASSOCIADOS A TRANSTORNOS DAS FUNCOES FISIOLOGICAS E A FATORES FISICOS, NAO,,
F60,TRANSTORNOS ESPECIFICOS DA PERSONALIDADE E SUBTÍTULOS                                               ,,
F600,PERSONALIDADE PARANOICA                                                                             ,,
F601,PERSONALIDADE ESQUIZOIDE                                                                            ,,
F602,PERSONALIDADE DISSOCIAL                                                                             ,,
F603,TRANSTORNO DE PERSONALIDADE COM INSTABILIDADE EMOCIONAL                                             ,,
F604,PERSONALIDADE HISTRIONICA                                                                           ,,
F605,PERSONALIDADE ANANCASTICA                                                                           ,,
F606,PERSONALIDADE ANSIOSA [ESQUIVA]                                                                     ,,
F607,PERSONALIDADE DEPENDENTE                                                                            ,,
F608,OUTROS TRANSTORNOS ESPECIFICOS DA PERSONALIDADE                                                     ,,
F609,TRANSTORNO NAO ESPECIFICADO DA PERSONALIDADE                                                        ,,
F61,TRANSTORNOS MISTOS DA PERSONALIDADE E OUTROS TRANSTORNOS DA PERSONALIDADE E SUBTÍTULOS              ,,
F62,MODIFICACOES DURADOURAS DA PERSONALIDADE NAO ATRIBUIVEIS A LESAO OU DOENCA CEREBRAL E SUBTÍTULOS    ,,
F620,MODIFICACAO DURADOURA DA PERSONALIDADE APOS UMA EXPERIENCIA CATASTROFICA                            ,,
F621,MODIFICACAO DURADOURA DA PERSONALIDADE APOS DOENCA PSIQUIATRICA                                     ,,
F628,OUTRAS MODIFICACOES DURADOURAS DA PERSONALIDADE                                                     ,,
F629,MODIFICACAO DURADOURA DA PERSONALIDADE, NAO ESPECIFICADA                                            ,,
F63,TRANSTORNOS DOS HABITOS E DOS IMPULSOS E SUBTÍTULOS                                                 ,,
F630,JOGO PATOLOGICO                                                                                     ,,
F631,PIROMANIA                                                                                           ,,
F632,ROUBO PATOLOGICO [CLEPTOMANIA]                                                                      ,,
F633,TRICOTILOMANIA                                                                                      ,,
F638,OUTROS TRANSTORNOS DOS HABITOS E DOS IMPULSOS                                                       ,,
F639,TRANSTORNO DOS HABITOS E IMPULSOS, NAO ESPECIFICADO                                                 ,,
F64,TRANSTORNOS DA IDENTIDADE SEXUAL E SUBTÍTULOS                                                       ,,
F640,TRANSEXUALISMO                                                                                      ,,
F641,TRAVESTISMO BIVALENTE                                                                               ,,
F642,TRANSTORNO DE IDENTIDADE SEXUAL NA INFANCIA                                                         ,,
F648,OUTROS TRANSTORNOS DA IDENTIDADE SEXUAL                                                             ,,
F649,TRANSTORNO NAO ESPECIFICADO DA IDENTIDADE SEXUAL                                                    ,,
F65,TRANSTORNOS DA PREFERENCIA SEXUAL E SUBTÍTULOS                                                      ,,
F650,FETICHISMO                                                                                          ,,
F651,TRAVESTISMO FETICHISTA                                                                              ,,
F652,EXIBICIONISMO                                                                                       ,,
F653,VOYEURISMO                                                                                          ,,
F654,PEDOFILIA                                                                                           ,,
F655,SADOMASOQUISMO                                                                                      ,,
F656,TRANSTORNOS MULTIPLOS DA PREFERENCIA SEXUAL                                                         ,,
F658,OUTROS TRANSTORNOS DA PREFERENCIA SEXUAL                                                            ,,
F659,TRANSTORNO DA PREFERENCIA SEXUAL, NAO ESPECIFICADO                                                  ,,
F66,TRANSTORNOS PSICOLOGICOS E COMPORTAMENTAIS ASSOCIADOS AO DESENVOLVIMENTO SEXUAL E A SUA ORIENTACAO E,,
F660,TRANSTORNO DA MATURACAO SEXUAL                                                                      ,,
F661,ORIENTACAO SEXUAL EGODISTONICA                                                                      ,,
F662,TRANSTORNO DO RELACIONAMENTO SEXUAL                                                                 ,,
F668,OUTROS TRANSTORNOS DO DESENVOLVIMENTO PSICOSSEXUAL                                                  ,,
F669,TRANSTORNO DO DESENVOLVIMENTO SEXUAL, NAO ESPECIFICADO                                              ,,
F68,OUTROS TRANSTORNOS DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO E SUBTÍTULOS                       ,,
F680,SINTOMAS FISICOS AUMENTADOS POR FATORES PSICOLOGICOS                                                ,,
F681,PRODUCAO DELIBERADA OU SIMULACAO DE SINTOMAS OU DE INCAPACIDADES, FISICAS OU PSICOLOGICAS [TRANSTORN,,
F688,OUTROS TRANSTORNOS ESPECIFICADOS DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO                      ,,
F69,TRANSTORNO DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO, NAO ESPECIFICADO E SUBTÍTULOS             ,,
F70,RETARDO MENTAL LEVE E SUBTÍTULOS                                                                    ,,
F700,RETARDO MENTAL LEVE - MENCAO DE AUSENCIA DE OU DE COMPROMETIMENTO MINIMO DO COMPORTAMENTO           ,,
F701,RETARDO MENTAL LEVE - COMPROMETIMENTO SIGNIFICATIVO DO COMPORTAMENTO, REQUERENDO VIGILANCIA OU TRATA,,
F708,RETARDO MENTAL LEVE - OUTROS COMPROMETIMENTOS DO COMPORTAMENTO                                      ,,
F709,RETARDO MENTAL LEVE - SEM MENCAO DE COMPROMETIMENTO DO COMPORTAMENTO                                ,,
F71,TRANSTORNOS MENTAIS E SUBTÍTULOS                                                                    ,,
F710,RETARDO MENTAL MODERADO - MENCAO DE AUSENCIA DE OU DE COMPROMETIMENTO MINIMO DO COMPORTAMENTO       ,,
F711,RETARDO MENTAL MODERADO - COMPROMETIMENTO SIGNIFICATIVO DO COMPORTAMENTO, REQUERENDO VIGILANCIA OU T,,
F718,RETARDO MENTAL MODERADO - OUTROS COMPROMETIMENTOS DO COMPORTAMENTO                                  ,,
F719,RETARDO MENTAL MODERADO - SEM MENCAO DE COMPROMETIMENTO DO COMPORTAMENTO                            ,,
C62,NEOPLASIA MALIGNA DE TESTICULO E SUBTÍTULOS                                                         ,,
C620,NEOPLASIA MALIGNA DO TESTICULO CRIPTORQUIDICO                                                       ,,
C621,NEOPLASIA MALIGNA DO TESTICULO TOPICO                                                               ,,
C629,NEOPLASIA MALIGNA DO TESTICULO, SEM OUTRAS ESPECIFICACOES                                           ,,
C63,NEOPLASIA MALIGNA DE OUTROS ORGAOS GENITAIS MASCULINOS E E SUBTÍTULOS                               ,,
C630,NEOPLASIA MALIGNA DO EPIDIDIMO                                                                      ,,
C631,NEOPLASIA MALIGNA DO CORDAO ESPERMATICO                                                             ,,
C632,NEOPLASIA MALIGNA DO ESCROTO                                                                        ,,
C637,NEOPLASIA MALIGNA DE OUTROS ORGAOS GENITAIS MASCULINOS ESPECIFICADOS                                ,,
C638,NEOPLASIA MALIGNA DOS ORGAOS GENITAIS MASCULINOS COM LESAO INVASIVA                                 ,,
C639,NEOPLASIA MALIGNA DE ORGAO GENITAL MASCULINO, NAO ESPECIFICADO                                      ,,
C64,NEOPLASIA MALIGNA DO RIM, EXCETO PELVE RENAL E SUBTÍTULOS                                           ,,
C65,NEOPLASIA MALIGNA DA PELVE RENAL E SUBTÍTULOS                                                       ,,
C66,NEOPLASIA MALIGNA DOS URETERES E SUBTÍTULOS                                                         ,,
C67,NEOPLASIA MALIGNA DA BEXIGA E SUBTÍTULOS                                                            ,,
C670,NEOPLASIA MALIGNA DO TRIGONO DA BEXIGA                                                              ,,
C671,NEOPLASIA MALIGNA DA CUPULA DA BEXIGA                                                               ,,
C672,NEOPLASIA MALIGNA DA PAREDE LATERAL DA BEXIGA                                                       ,,
C673,NEOPLASIA MALIGNA DA PAREDE ANTERIOR DA BEXIGA                                                      ,,
C674,NEOPLASIA MALIGNA DA PAREDE POSTERIOR DA BEXIGA                                                     ,,
B75,TRIQUINOSE E SUBTÍTULOS                                                                             ,,
B76,ANCILOSTOMIASE E SUBTÍTULOS                                                                         ,,
B760,ANCILOSTOMOSE                                                                                       ,,
B761,NECATORIASE                                                                                         ,,
B768,OUTRAS ANCILOSTOMIASES                                                                              ,,
B769,ANCILOSTOMIASE NAO ESPECIFICADA                                                                     ,,
B77,ASCARIDIASE E SUBTÍTULOS                                                                            ,,
B770,ASCARIDIASE COM COMPLICACOES INTESTINAIS                                                            ,,
B778,ASCARIDIASE COM OUTRAS COMPLICACOES                                                                 ,,
B779,ASCARIDIASE NAO ESPECIFICADA                                                                        ,,
B78,ESTRONGILOIDIASE E SUBTÍTULOS                                                                       ,,
B780,ESTRONGILOIDIASE INTESTINAL                                                                         ,,
B781,ESTRONGILOIDIASE CUTANEA                                                                            ,,
B787,ESTRONGILOIDIASE DISSEMINADA                                                                        ,,
B789,ESTRONGILOIDIASE NAO ESPECIFICADA                                                                   ,,
B79,TRICURIASE E SUBTÍTULOS                                                                             ,,
B80,OXIURIASE E SUBTÍTULOS                                                                              ,,
B81,OUTRAS HELMINTIASES INTESTINAIS, NAO CLASSIFICADAS EM OUTRA PARTE E SUBTÍTULOS                      ,,
B810,ANISAQUIASE                                                                                         ,,
B811,CAPILARIASE INTESTINAL                                                                              ,,
B812,TRICOSTRONGILOSE                                                                                    ,,
B813,ANGIOSTRONGILIASE INTESTINAL                                                                        ,,
B814,HELMINTIASES INTESTINAIS MISTAS                                                                     ,,
B818,OUTRAS HELMINTIASES INTESTINAIS ESPECIFICADAS                                                       ,,
B82,PARASITOSE INTESTINAL NAO ESPECIFICADA E SUBTÍTULOS                                                 ,,
B820,HELMINTIASE INTESTINAL NAO ESPECIFICADA                                                             ,,
B829,PARASITOSE INTESTINAL NAO ESPECIFICADA                                                              ,,
B83,OUTRAS HELMINTIASES E SUBTÍTULOS                                                                    ,,
B830,LARVA MIGRANS VISCERAL                                                                              ,,
B831,GNATOSTOMIASE                                                                                       ,,
B832,ANGROSTRONGILIASE DEVIDA A PARASTRONGYLUS CANTONENSIS                                               ,,
B833,SINGAMOSE                                                                                           ,,
B834,HIRUDINIASE INTERNA                                                                                 ,,
B838,OUTRAS HELMINTIASES ESPECIFICADAS                                                                   ,,
B839,HELMINTIASE NAO ESPECIFICADA                                                                        ,,
B85,PEDICULOSE E FTIRIASE E SUBTÍTULOS                                                                  ,,
B850,PEDICULOSE DEVIDA A PEDICULUS HUMANUS CAPITIS                                                       ,,
B851,PEDICULOSE DEVIDA A PEDICULUS HUMANUS CORPORIS                                                      ,,
B852,PEDICULOSE NAO ESPECIFICADA                                                                         ,,
B853,FTIRIASE                                                                                            ,,
B854,PEDICULOSE E FTIRIASE MISTA                                                                         ,,
B86,ESCABIOSE [SARNA] E SUBTÍTULOS                                                                      ,,
B87,MIIASE E SUBTÍTULOS                                                                                 ,,
B870,MIIASE CUTANEA                                                                                      ,,
B871,MIIASE DAS FERIDAS                                                                                  ,,
F72,TRANSTORNOS MENTAL GRAVE E SUBTÍTULOS                                                               ,,
F720,RETARDO MENTAL GRAVE - MENCAO DE AUSENCIA DE OU DE COMPROMETIMENTO MINIMO DO COMPORTAMENTO          ,,
F721,RETARDO MENTAL GRAVE - COMPROMETIMENTO SIGNIFICATIVO DO COMPORTAMENTO, REQUERENDO VIGILANCIA OU TRAT,,
F728,RETARDO MENTAL GRAVE - OUTROS COMPROMETIMENTOS DO COMPORTAMENTO                                     ,,
F729,RETARDO MENTAL GRAVE - SEM MENCAO DE COMPROMETIMENTO DO COMPORTAMENTO                               ,,
F73,RETARDO MENTAL PROFUNDO E SUBTÍTULOS                                                                ,,
F730,RETARDO MENTAL PROFUNDO - MENCAO DE AUSENCIA DE OU DE COMPROMETIMENTO MINIMO DO COMPORTAMENTO       ,,
F731,RETARDO MENTAL PROFUNDO - COMPROMETIMENTO SIGNIFICATIVO DO COMPORTAMENTO, REQUERENDO VIGILANCIA OU T,,
F738,RETARDO MENTAL PROFUNDO - OUTROS COMPROMETIMENTOS DO COMPORTAMENTO                                  ,,
F739,RETARDO MENTAL PROFUNDO - SEM MENCAO DE COMPROMETIMENTO DO COMPORTAMENTO                            ,,
F78,OUTRO RETARDO MENTAL E SUBTÍTULOS                                                                   ,,
F780,OUTRO RETARDO MENTAL - MENCAO DE AUSENCIA DE OU DE COMPROMETIMENTO MINIMO DO COMPORTAMENTO          ,,
F781,OUTRO RETARDO MENTAL - COMPROMETIMENTO SIGNIFICATIVO DO COMPORTAMENTO, REQUERENDO VIGILANCIA OU TRAT,,
F788,OUTRO RETARDO MENTAL - OUTROS COMPROMETIMENTOS DO COMPORTAMENTO                                     ,,
F789,OUTRO RETARDO MENTAL - SEM MENCAO DE COMPROMETIMENTO DO COMPORTAMENTO                               ,,
F79,RETARDO MENTAL NAO ESPECIFICADO E SUBTÍTULOS                                                        ,,
F790,RETARDO MENTAL NAO ESPECIFICADO - MENCAO DE AUSENCIA DE OU DE COMPROMETIMENTO MINIMO DO COMPORTAMENT,,
F791,RETARDO MENTAL NAO ESPECIFICADO - COMPROMETIMENTO SIGNIFICATIVO DO COMPORTAMENTO, REQUERENDO VIGILAN,,
F798,RETARDO MENTAL NAO ESPECIFICADO - OUTROS COMPROMETIMENTOS DO COMPORTAMENTO                          ,,
F799,RETARDO MENTAL NAO ESPECIFICADO - SEM MENCAO DE COMPROMETIMENTO DO COMPORTAMENTO                    ,,
F80,TRANSTORNOS  ESPECIFICOS  DO DESENVOLVIMENTO DA FALA E LINGUAGEM E SUBTÍTULOS                       ,,
F800,TRANSTORNO ESPECIFICO DA ARTICULACAO DA FALA                                                        ,,
F801,TRANSTORNO EXPRESSIVO DE LINGUAGEM                                                                  ,,
F802,TRANSTORNO RECEPTIVO DA LINGUAGEM                                                                   ,,
F803,AFASIA ADQUIRIDA COM EPILEPSIA [SINDROME DE LANDAU-KLEFFNER]                                        ,,
F808,OUTROS TRANSTORNOS DE DESENVOLVIMENTO DA FALA OU DA LINGUAGEM                                       ,,
F809,TRANSTORNO NAO ESPECIFICADO DO DESENVOLVIMENTO DA FALA OU DA LINGUAGEM                              ,,
F81,TRANSTORNOS ESPECIFICOS DO DESENVOLVIMENTO DAS HABILIDADES ESCOLARES E SUBTÍTULOS                   ,,
F810,TRANSTORNO ESPECIFICO DE LEITURA                                                                    ,,
F811,TRANSTORNO ESPECIFICO DA SOLETRACAO                                                                 ,,
F812,TRANSTORNO ESPECIFICO DA HABILIDADE EM ARITMETICA                                                   ,,
F813,TRANSTORNO MISTO DE HABILIDADES ESCOLARES                                                           ,,
F818,OUTROS TRANSTORNOS DO DESENVOLVIMENTO DAS HABILIDADES ESCOLARES                                     ,,
F819,TRANSTORNO NAO ESPECIFICADO DO DESENVOLVIMENTO DAS HABILIDADES ESCOLARES                            ,,
F82,TRANSTORNO ESPECIFICO DO DESENVOLVIMENTO MOTOR E SUBTÍTULOS                                         ,,
F83,TRANSTORNOS ESPECIFICOS MISTO DO DESENVOLVIMENTO E SUBTÍTULOS                                       ,,
F84,TRANSTORNOS GLOBAIS DO DESENVOLVIMENTO E SUBTÍTULOS                                                 ,,
F840,AUTISMO INFANTIL                                                                                    ,,
F841,AUTISMO ATIPICO                                                                                     ,,
F842,SINDROME DE RETT                                                                                    ,,
F843,OUTRO TRANSTORNO DESINTEGRATIVO DA INFANCIA                                                         ,,
F844,TRANSTORNO COM HIPERCINESIA ASSOCIADA A RETARDO MENTAL E A MOVIMENTOS ESTEREOTIPADOS                ,,
F845,SINDROME DE ASPERGER                                                                                ,,
F848,OUTROS TRANSTORNOS GLOBAIS DO DESENVOLVIMENTO                                                       ,,
F849,TRANSTORNOS GLOBAIS NAO ESPECIFICADOS DO DESENVOLVIMENTO                                            ,,
F88,OUTROS TRANSTORNOS DO DESENVOLVIMENTO PSICOLOGICO E SUBTÍTULOS                                      ,,
F89,TRANSTORNO DO DESENVOLVIMENTO PSICOLOGICO NAO ESPECIFICADO E SUBTÍTULOS                             ,,
F90,TRANSTORNOS HIPERCINETICOS E SUBTÍTULOS                                                             ,,
F900,DISTURBIOS DA ATIVIDADE E DA ATENCAO                                                                ,,
F901,TRANSTORNO HIPERCINETICO DE CONDUTA                                                                 ,,
F908,OUTROS TRANSTORNOS HIPERCINETICOS                                                                   ,,
